NUM,STATION,NAME,X[m],sig_X[m],Y[m],sig_Y[m],Z[m],sig_Z[m],START,END,ID-SNX
1314,UYTA,42302M001,3042868.19516,0.00077,-4500645.51201,0.0009,-3330675.29487,0.00081,2008-05-04,2010-02-26,A1
1315,UYTA,42302M001,3042868.1848,0.00062,-4500645.51333,0.00083,-3330675.29445,0.00064,2010-02-28,2016-02-27,A2
1316,UYTA,42302M001,3042868.19092,0.0011,-4500645.51392,0.00141,-3330675.29114,0.00113,2016-02-28,2019-10-28,A3
1317,UYTA,42302M001,3042868.19997,0.00137,-4500645.52943,0.00173,-3330675.30449,0.00142,2019-10-29,2022-04-30,A4
1318,UYTD,42317M001,2939805.82948,0.00057,-4618928.44614,0.00083,-3260824.79871,0.00059,2014-12-01,2022-04-30,A1
1319,UYTT,42318M001,3109972.11884,0.00061,-4340819.09731,0.00082,-3476409.79911,0.00063,2014-12-01,2022-04-30,A1
1320,VALL,41906S001,1807579.79584,0.00019,-6006678.29678,0.0004,1151876.92551,0.00015,2004-03-23,2012-05-23,A1
1321,VALL,41906S001,1807579.80048,0.00024,-6006678.30359,0.00052,1151876.92514,0.00018,2012-05-24,2022-04-30,A2
1322,VALP,41712S001,1687310.56928,0.00019,-5079964.5276,0.00039,-3456509.13668,0.00027,2000-01-02,2001-04-09,A1
1323,VALP,41712S001,1687310.5698,0.00018,-5079964.52412,0.00037,-3456509.1374,0.00027,2001-04-10,2010-02-26,A2
1324,VALP,41712S001,1687310.41477,0.00187,-5079964.45164,0.00406,-3456509.03164,0.00281,2010-02-28,2014-08-22,A3
1325,VALP,41712S001,1687310.41354,0.00228,-5079964.45431,0.00468,-3456509.04016,0.00334,2014-08-24,2015-07-28,A4
1326,VARG,41626M001,4165518.26557,0.00089,-4229235.83012,0.00093,-2327739.47144,0.00057,2005-04-11,2009-03-28,A1
1327,VBCA,41512M001,2319240.84846,0.00014,-4411743.99861,0.00022,-3966484.02915,0.0002,2000-01-02,2010-02-26,A1
1328,VBCA,41512M001,2319240.78608,0.00053,-4411744.0347,0.00076,-3966484.01059,0.00069,2010-02-28,2014-12-18,A2
1329,VBCA,41512M001,2319240.78048,0.00037,-4411744.0254,0.00063,-3966484.00463,0.00057,2014-12-19,2022-04-30,A3
1330,VERA,40622M001,560280.95954,0.00074,-6239744.23191,0.00276,1193120.04415,0.00079,2009-08-02,2012-09-04,A1
1331,VERA,40622M001,560280.86722,0.00065,-6239744.26255,0.00186,1193119.90279,0.00056,2012-09-06,2022-04-30,A2
1332,VESL,66009M001,2009329.87466,0.00022,-99741.48637,0.00016,-6033158.37417,0.00064,2000-01-26,2003-01-05,A1
1333,VESL,66009M001,2009329.90192,0.00043,-99741.48262,0.00028,-6033158.44382,0.00131,2003-01-06,2006-01-22,A2
1334,VESL,66009M001,2009329.88785,0.00027,-99741.47981,0.00019,-6033158.39727,0.00082,2006-01-23,2012-12-19,A3
1335,VICO,41613M001,4373283.31034,0.00026,-4059639.12123,0.00026,-2246959.55117,0.00016,2000-01-05,2007-04-03,A1
1336,VICO,41613M001,4373283.32003,0.00066,-4059639.11994,0.00063,-2246959.54941,0.00041,2007-04-04,2011-09-19,A2
1337,VICO,41613M001,4373283.30535,0.00104,-4059639.13443,0.00102,-2246959.54178,0.00094,2011-09-20,2012-04-03,A3
1338,VICO,41613M001,4373283.31623,0.00054,-4059639.13466,0.00051,-2246959.55678,0.0003,2012-04-04,2021-07-05,A4
1339,VICO,41613M001,4373283.35892,0.00167,-4059639.14818,0.00165,-2246959.56224,0.00158,2021-07-06,2022-04-30,A5
1340,VIL2,40527M001,-310300.71659,0.00013,-6060323.99557,0.0004,1957383.59932,0.00017,2005-01-09,2016-05-23,A1
1341,VIL2,40527M001,-310300.7126,0.00055,-6060323.99659,0.00126,1957383.59881,0.00057,2016-05-24,2021-05-12,A2
1342,VIL2,40527M001,-310300.7165,0.00144,-6060324.02437,0.00177,1957383.60431,0.00148,2021-05-13,2022-04-30,A3
1343,VIVI,41931S001,1798110.70186,0.00039,-6103160.65961,0.00078,450209.65992,0.00029,2005-09-18,2009-12-21,A1
1344,VIVI,41931S001,1798110.69266,0.00053,-6103160.66781,0.00134,450209.6826,0.00037,2012-05-23,2019-02-01,A2
1345,VIVI,41931S001,1798110.69471,0.0013,-6103160.67338,0.00231,450209.67717,0.00115,2019-08-04,2022-04-30,A3
1346,VNDP,40420M007,-2678090.45797,0.00013,-4525437.05355,0.00018,3597431.90147,0.00015,2000-01-02,2003-12-21,A1
1347,VNDP,40420M007,-2678090.45337,0.00018,-4525437.04583,0.00026,3597431.90531,0.00021,2003-12-23,2012-01-31,A2
1348,VNDP,40420M007,-2678090.4501,0.00063,-4525437.03436,0.00082,3597431.9019,0.00071,2012-02-01,2015-07-27,A3
