NUM,STATION,NAME,VX[m/a],sig_VX[m/a],VY[m/a],sig_Y[m],VZ[m/a],sig_VZ[m/a],START,END,ID-SNX
367,FOEC,42041M001,-0.00207,0.00086,0.00407,0.00236,0.00863,0.0006,2014-08-01,2016-04-15,A1
368,FOEC,42041M001,-0.00519,0.00077,0.00302,0.00164,0.00844,0.00064,2016-04-17,2019-06-18,A2
369,FOEC,42041M001,-0.00519,0.00058,0.00302,0.00155,0.00844,0.00039,2019-06-19,2022-04-30,A3
370,FORT,41602M001,-0.00165,0.00133,-0.00434,0.00114,0.01273,0.00061,2000-01-02,2000-03-20,A1
371,FORT,41602M001,-0.00166,0.00123,-0.00434,0.00101,0.01273,0.00033,2000-03-21,2006-02-27,A2
372,FORT,41602M001,-0.00166,0.00133,-0.00434,0.00114,0.01273,0.00061,2006-02-28,2006-04-08,A3
373,FQNE,41936S001,0.00022,0.00042,0.00235,0.00072,0.01431,0.00033,2007-09-09,2010-12-23,A1
374,FQNE,41936S001,0.00022,0.00037,0.00235,0.00069,0.01439,0.00029,2012-07-17,2015-10-18,A2
375,FQNE,41936S001,0.00022,0.00025,0.00234,0.00058,0.01437,0.00017,2017-05-11,2022-02-14,A3
376,GALA,42005M001,0.05014,0.00038,0.00066,0.00057,0.01116,0.00036,2000-02-04,2002-11-09,A1
377,GARA,41945M001,-0.00123,0.0001,0.00141,0.00025,0.01302,7e-05,2012-12-07,2022-04-30,A1
378,GCGT,80401M001,-0.00795,0.00027,0.00119,0.00086,0.00297,0.00037,2005-06-09,2009-04-08,A1
379,GCGT,80401M001,-0.00794,0.00041,0.00118,0.00094,0.00297,0.00049,2009-04-09,2011-11-24,A2
380,GLPS,42005M002,0.05012,0.00019,0.00066,0.00046,0.01117,0.00017,2003-01-07,2008-02-19,A1
381,GLPS,42005M002,0.05012,0.0004,0.00066,0.00057,0.01114,0.00036,2008-10-08,2011-03-15,A2
382,GLPS,42005M002,0.05012,9e-05,0.00066,0.00027,0.01116,7e-05,2012-11-14,2022-04-01,A3
383,GLSV,12356M001,-0.02003,0.00022,0.0144,0.00015,0.00852,0.00029,2000-01-02,2007-11-12,A1
384,GLSV,12356M001,-0.02008,0.00048,0.01442,0.00038,0.00851,0.00056,2007-11-13,2009-10-24,A2
385,GLSV,12356M001,-0.01933,0.00014,0.0149,0.0001,0.00857,0.00018,2009-10-25,2019-06-21,A3
386,GLSV,12356M001,-0.0194,0.00037,0.01495,0.00029,0.00857,0.00044,2019-06-22,2022-04-30,A4
387,GODE,40451M123,-0.01526,7e-05,0.00031,0.00016,0.00248,0.00013,2000-01-06,2012-08-02,A1
388,GODE,40451M123,-0.01528,0.00041,0.00031,0.00054,0.00247,0.00053,2012-08-03,2012-12-13,A2
389,GODE,40451M123,-0.01528,0.00041,0.00031,0.00054,0.00247,0.00053,2012-12-14,2013-01-30,A3
390,GODE,40451M123,-0.01528,8e-05,0.00031,0.00017,0.00248,0.00014,2013-01-31,2022-04-30,A4
391,GOGY,48095M001,0.00041,0.00053,-0.00608,0.00054,0.01228,0.00052,2013-06-09,2013-11-12,A1
392,GOGY,48095M001,0.00041,0.00018,-0.00607,0.0002,0.0123,0.0001,2013-11-13,2022-04-30,A2
393,GOJA,41654M001,-0.00155,0.0002,-0.00335,0.00023,0.0124,0.00011,2008-04-06,2018-09-05,A1
394,GOJA,41654M001,-0.00155,0.00037,-0.00335,0.00044,0.01248,0.00025,2018-09-06,2022-04-30,A2
395,GOLD,40405S031,-0.01627,8e-05,0.00657,0.00012,-0.00278,0.0001,2000-07-01,2013-10-04,A1
396,GOLD,40405S031,-0.01626,0.0003,0.00658,0.0005,-0.00278,0.00038,2013-10-06,2019-07-03,A2
397,GOLD,40405S031,-0.01623,0.00046,0.00658,0.00079,-0.00278,0.0006,2019-07-06,2022-04-30,A3
398,GOUG,30608M001,0.01457,0.00534,0.01853,0.00103,0.01515,0.00403,2013-09-16,2016-09-21,A1
399,GOUR,48065M001,-0.00093,0.00019,-0.00463,0.00021,0.01253,0.0001,2015-07-02,2022-04-30,A1
400,GRAS,10002M006,-0.01359,0.00045,0.01896,0.00028,0.01188,0.00044,2000-01-02,2003-04-21,A1
401,GRAS,10002M006,-0.01352,0.0005,0.01895,0.00036,0.01185,0.0005,2003-04-22,2004-10-20,A2
402,GRAS,10002M006,-0.0136,8e-05,0.01898,4e-05,0.01182,8e-05,2004-10-21,2022-04-30,A3
403,GRAZ,11001M002,-0.01687,0.00057,0.01803,0.00039,0.01097,0.00059,2000-01-02,2001-05-07,A1
404,GRAZ,11001M002,-0.01688,0.00029,0.01805,0.00018,0.01097,0.00032,2001-05-08,2005-03-22,A2
405,GRAZ,11001M002,-0.01688,0.00058,0.01804,0.0004,0.01096,0.0006,2005-03-23,2005-11-02,A3
406,GRAZ,11001M002,-0.01689,0.00036,0.01801,0.00019,0.01097,0.00039,2005-11-03,2010-05-18,A4
